method_id	metric_id	mean	var	method_task	method_label	method_description	method_maintainer	method_num_authors	method_language	method_type	method_doi
baseline_lmds	ari	0.434459124494907	0.004124546422485351	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	arithmetic_mean	0.69638625874393	0.007543549767185737	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	asw_batch	0.8311869257094606	1.447064196720213e-4	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	asw_label	0.502203956770245	3.3562032901034397e-6	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	cc_cons	0.6670818079729334	0.11349180124608618	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	correct_format	1	0	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	finished	1	0	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	format_check	1	0	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	graph_conn	0.8892542255984615	0.01086684056348474	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	nmi	0.6021392965150417	0.0018500274904572362	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_ADT_ATAC	0.7349167362601614	8.07172029603536e-4	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_batch_ADT_ATAC	0.723937286339609	0.0043312318852303175	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_batch_mean	0.6864513398974379	0.011912115577329803	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_batch_RNA	0.6489653934552667	0.02324807125143555	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_mean	0.661394876836354	0.00278393616342712	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_lmds	ti_cons_RNA	0.5878730174125468	0.00594676404573495	joint_embedding	LMDS	Landmark MDS dimensionality reduction on the Spearman distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ari	0.6273197570772477	0.027940927099231485	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	arithmetic_mean	0.7839617032133055	0.001734748210932277	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	asw_batch	0.8907491642704988	8.451608754713666e-5	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	asw_label	0.5544113405048847	6.634310911457775e-4	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	cc_cons	0.9110981301898333	7.486146381224016e-5	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	correct_format	1	0	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	finished	1	0	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	format_check	1	0	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	graph_conn	0.940954860001592	0.0014674806146887348	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	nmi	0.7353944683523344	0.0064090677208746534	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_ADT_ATAC	0.7182981631495707	0.046986332277020454	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_batch_ADT_ATAC	0.6947324235611272	0.03823442180733155	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_batch_mean	0.6711622559606899	0.1004046579328039	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_batch_RNA	0.6475920883602527	0.19201717097676282	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_mean	0.6648653968693259	0.10812141765034018	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_mnn	ti_cons_RNA	0.611432630589081	0.19436910619772274	joint_embedding	MNN	Mutual nearest neighbors correction followed by PCA.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ari	0.3417113588664087	3.0498894635622886e-4	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	arithmetic_mean	0.6980912303025342	0.0017230670252872738	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	asw_batch	0.8187404655738064	0.002837682028954643	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	asw_label	0.5008386711124331	1.8624987803029657e-7	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	cc_cons	0.8761954815910531	2.4367197961251327e-6	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	correct_format	1	0	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	finished	1	0	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	format_check	1	0	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	graph_conn	0.8697277367341337	0.013374389152396497	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	nmi	0.5643335519939119	0.004235925466657035	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_ADT_ATAC	0.6050139501775469	4.6964338641873287e-7	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_batch_ADT_ATAC	0.5658447849430956	0.0016694912742311924	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_batch_mean	0.558711474809866	0.020515659173584576	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_batch_RNA	0.5515781646766363	0.060322484152261435	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_mean	0.5570769052198876	0.0033748066275075934	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_pca	ti_cons_RNA	0.5091398602622285	0.013340450149357638	joint_embedding	PCA	PCA dimensionality reduction.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ari	0.2848646517321534	0.007828879797214213	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	arithmetic_mean	0.5361348510818138	0.021534310820409457	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	asw_batch	0.5874518831074367	0.023127591625142125	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	asw_label	0.44366876734420657	0.0036308617193928088	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	cc_cons	0.678460416861425	0.005448469775127435	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	correct_format	1	0	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	finished	1	0	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	format_check	1	0	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	graph_conn	0.5425307166510283	0.015011862755358351	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	nmi	0.611390625317805	7.754880058134669e-4	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_ADT_ATAC	0.36598591892897	0.2678913857085652	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_batch_ADT_ATAC	0.32793150683282557	0.21507814634729505	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_batch_mean	0.3533066972089812	0.24965124458543747	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_batch_RNA	0.3786818875851369	0.2867999439700845	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_mean	0.39959132350634907	0.31934645164311143	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
baseline_umap	ti_cons_RNA	0.4331967280837282	0.3753188104448951	joint_embedding	UMAP	UMAP dimensionality reduction on the Euclidean distance.	Robrecht Cannoodt	1	r	baseline	NA
dummy_random	ari	1.0583512813042068e-4	7.104773688369822e-8	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	arithmetic_mean	0.37209696267571696	6.80224769730827e-4	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	asw_batch	0.9852174731773407	1.120577461556116e-5	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	asw_label	0.4955680846469477	9.009400542261855e-6	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	cc_cons	0.004901204759845005	2.5192491740476276e-6	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	correct_format	1	0	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	finished	1	0	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	format_check	1	0	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	graph_conn	0.23918921242288277	0.019317369093829032	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	nmi	0.010008360705950726	1.0434617839050148e-5	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_ADT_ATAC	0.49860237365232796	4.4656905813736846e-06	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_batch_ADT_ATAC	0.49747161515260907	1.9844849560136279e-4	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_batch_mean	0.4976974403413349	1.6368024705689087e-4	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_batch_RNA	0.49792326553006083	1.3225785220575095e-4	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_mean	0.4973350242548664	2.4435129059261314e-5	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_random	ti_cons_RNA	0.4960676748574049	6.042205179389441e-5	joint_embedding	Normal Dist.	Generate a random embedding from a normal distribution.	Alex Tong	2	python	negative_control	NA
dummy_zeros	ari	7.439290073574231e-6	6.9008357623108655e-12	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	arithmetic_mean	NA	NA	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	asw_batch	1	0	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	asw_label	0.5	0	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	cc_cons	NA	NA	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	correct_format	1	0	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	finished	1	0	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	format_check	1	0	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	graph_conn	0.054877297460657816	0.00125866103182742	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	nmi	0.0188703108566473	3.265996334316337e-5	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
dummy_zeros	ti_cons_ADT_ATAC	0.5110745198692686	1.0105735332136871e-4	joint_embedding	Zeros	Generate an embedding containing only zero values.	Alex Tong	2	python	negative_control	NA
